ID Messaggio,Nome Salone,Cellulare,Rating,Data Invio,Risposta,Data Risposta,Tipo Risposta,Note
REST044,Antonella Beauty Specialist - Centro Estetico,+393477720084,4.8,2026-06-08 16:32,,,,
REST045,Horus Beauty di Maria Lanzafame,+393474090312,5,2026-06-08 16:32,,,,
REST046,Bellezza & Capelli,+393486430599,4.8,2026-06-08 16:32,,,,
REST047,Bellezza & Capelli,+393384801639,5,2026-06-08 16:32,,,,
REST048,Il Sogno di ogni donna Via Nuovalucello | Centro Estetico Catania,+393516090139,4.9,2026-06-08 16:32,,,,
REST049,Logopedista Dott.ssa Catania Lucrezia,+393881803074,5,2026-06-08 16:32,,,,
REST050,Altea Beauty Concept,+393317185734,5,2026-06-08 16:32,,,,
REST051,BodyFaceStudio by Brigida Maugeri,+393496837650,4.9,2026-06-08 16:32,,,,
REST052,Eidoss Estetica Centro Estetico Catania,+393465309089,4.5,2026-06-08 16:32,,,,
REST053,Maika'i Grazia Monaco,+393388615355,5,2026-06-08 16:32,,,,
REST054,Armonia Donna,+393493582474,5,2026-06-08 16:32,,,,
REST055,Nails My Passion di Valentina A. Coco,+393494591007,4.9,2026-06-08 16:32,,,,
REST056,Beauty Zone Agata Pellegrino,+393282944219,4.9,2026-06-08 16:32,,,,
REST057,Oasi Del Benessere Centro Estetico Di Jenny Spinella,+393401894031,4.7,2026-06-08 16:32,,,,
REST058,Reale Benessere centro commerciale Ciclope,+393514585161,5,2026-06-08 16:32,,,,
REST059,Marilù Nails,+393341990161,4.7,2026-06-08 16:32,,,,
REST060,NailSensation,+393279359213,5,2026-06-08 16:32,,,,
REST061,L'Essenza del Benessere,+393285982218,5,2026-06-08 16:32,,,,
REST062,Il tempio della bellezza di Chiara Bonfiglio,+393926964393,5,2026-06-08 16:32,,,,
REST063,Lo Scrigno del Benessere,+393270440457,5,2026-06-08 16:32,,,,
REST064,BeBeauty - Body Concept,+393456002854,4.9,2026-06-08 16:32,,,,
REST065,CHARMESTÉ Di Ilenja Tropea,+393404237906,5,2026-06-08 16:32,,,,
REST066,SISTERS BEAUTY LAB CENTRO ESTETICO di Barbara trovato,+393518558744,5,2026-06-08 16:32,,,,
REST067,Centro Bioestetico “Ibiscus”,+393480047286,4.7,2026-06-08 16:32,,,,
REST068,Alma estetica & dimagrimento,+393476933734,5,2026-06-08 16:32,,,,
REST069,Beauty Shop Profumerie,+393485195900,5,2026-06-08 16:32,,,,
REST070,LAGUSTA ACIREALE,+393290111919,5,2026-06-08 16:32,,,,
REST071,Bellezza e Profumo,+393383939513,4.8,2026-06-08 16:32,,,,
REST072,Chapeau Professional (articoli per parrucchieri ed estetiste),+393762488098,5,2026-06-08 16:32,,,,
REST073,Fenice beauty,+393450926419,5,2026-06-08 16:32,,,,
REST074,Salute e Benessere,+393501685776,4.9,2026-06-08 16:32,,,,
REST075,Cosmo Beauty Di Angela Giusto,+393452853044,4.7,2026-06-08 16:32,,,,
REST076,Un Mare Di Bellezza forniture,+393201739430,4.9,2026-06-08 16:32,,,,
REST077,Mondo Belleza Ingrosso Cosmetici E Manicure,+393778408586,4.2,2026-06-08 16:32,,,,
REST078,Charme - Hair studio,+393914586790,5,2026-06-08 16:32,,,,
REST079,“V M Luxury Style”, Parrucchiere Unisex Misterbianco Catania, Parrucchiere Donna, Parrucchiere Uomo, Barbiere, Barber Shop,+393486042394,4.9,2026-06-08 16:32,,,,
REST080,Vale Guidotto,+393514215501,5,2026-06-08 16:32,,,,
REST081,Farmacia Greco Franca,+393281839090,4.3,2026-06-08 16:32,,,,
REST082,Aphrodite Il Tempio Della Bellezza Di Arbaci Angela,+393475825539,5,2026-06-08 16:32,,,,
REST083,ESTE' CENTRO ESTETICO di Stefania Russo,+393486615030,4.7,2026-06-08 16:32,,,,
REST084,CoralBeauty Estetica di Barbara Corallo,+393484660675,5,2026-06-08 16:32,,,,
REST085,Centro Olistico Elements,+393517198216,5,2026-06-08 16:32,,,,
REST086,Germana Beauty Nails,+393791525577,4.9,2026-06-08 16:32,,,,
REST087,Bflow Beauty Concept - By Paola (Estetica e Pilates),+393491279176,5,2026-06-08 16:32,,,,
REST088,VyBi Nails Belpasso di Viviana Barbagallo,+393791116894,4.2,2026-06-08 16:32,,,,
REST089,Kelù Bellezza e Benessere,+393515045930,5,2026-06-08 16:32,,,,
REST090,Beautyland by Barbara Ventura,+393513209300,5,2026-06-08 16:32,,,,
REST091,MOVE AND BEAUTY,+393760660237,4.8,2026-06-08 16:32,,,,
REST092,Centro Estetico Oasi del benessere,+393203068216,4.9,2026-06-08 16:32,,,,
REST093,Angela Catania Estetic lab,+393454340584,5,2026-06-08 16:32,,,,
REST094,GP Esthetique,+393389991118,5,2026-06-08 16:32,,,,
REST095,Ambra Vicari Beauty Studio,+393927512661,4.9,2026-06-08 16:32,,,,
REST096,GMG Centro Estetico,+393277729222,4.5,2026-06-08 16:32,,,,
REST097,MD S.p.A.,+393207189041,4.2,2026-06-08 16:32,,,,
REST098,Farmacia Santa Lucia - Dott. La Genga Agostino Giuseppe,+393444130470,5,2026-06-08 16:32,,,,
REST099,Farmacia Ferlito,+393348845270,4.5,2026-06-08 16:32,,,,
REST100,Farmacia San Filippo,+393519920888,4.9,2026-06-08 16:32,,,,
REST101,Centro estetico "Il Girasole Beauty Center",+393315695387,4.9,2026-06-08 16:32,,,,
REST102,You B You Nails by Erika Nortier,+393667253370,4.8,2026-06-08 16:32,,,,
REST103,Gabriella Maugeri - Clinica della Bellezza,+393297855883,4.9,2026-06-08 16:32,,,,
REST104,Zeropeli S. G. la Punta,+393206798068,4.7,2026-06-08 16:32,,,,
REST105,Centro Benessere Essenza Specializzati con il Metodo Snellessenza Dimagrire Modellare Ringiovanendo in Salute e Relax,+393476045094,5,2026-06-08 16:32,,,,
REST106,RELEI - Beauty Concept di Amanda D’Urso | Acne Specialist,+393401707542,4.9,2026-06-08 16:32,,,,
REST107,Centro estetico - Estèsia Wellness&Beauty,+393515923959,5,2026-06-08 16:32,,,,
REST108,Farma Estetica | Epilazione Laser | Trattamenti Viso - Corpo | Nutrizione,+393703315708,4.9,2026-06-08 16:32,,,,
REST109,Evolush - Evoluzione Estetica,+393471857011,4.9,2026-06-08 16:32,,,,
REST110,L'arte del Benessere,+393497191666,5,2026-06-08 16:32,,,,
REST111,La Beautè Centro Estetico,+393934787808,4.8,2026-06-08 16:32,,,,
REST112,Armonia Della Bellezza,+393516351963,5,2026-06-08 16:32,,,,
REST113,Dream Nails - Estetica e Benessere,+393316159755,5,2026-06-08 16:32,,,,
REST114,Centro Estetico Tipittu,+393491220219,4.6,2026-06-08 16:32,,,,
REST115,BioEstetica bellezza e benessere,+393341944634,5,2026-06-08 16:32,,,,
REST116,Cleb Beauty,+393403532811,4.6,2026-06-08 16:32,,,,
REST117,Lakshmi Beauty's,+393925708809,4.9,2026-06-08 16:32,,,,
REST118,Estetica & Benessere di Annalisa S.,+393283412479,5,2026-06-08 16:32,,,,
REST119,Beauty Station,+393470273618,4.9,2026-06-08 16:32,,,,
REST120,Centro estetico meraki,+393478932286,5,2026-06-08 16:32,,,,
REST121,Afrodite Centro Bellezza E Benessere,+393474993754,4.3,2026-06-08 16:32,,,,
REST122,Shine Parrucchieri di Davide Salamone,+393472105687,4.9,2026-06-08 16:32,,,,
REST123,Styling barber estetica Uomo Donna,+393406346350,4.6,2026-06-08 16:32,,,,
REST124,Urban Beauty Catania,+393519080951,4.9,2026-06-08 16:32,,,,
REST125,Glance Nails Professional,+393451663178,5,2026-06-08 16:32,,,,
REST126,Sabaijai Thai Massage Catania,+393756116562,4.9,2026-06-08 16:32,,,,
REST127,L' UNIVERSO DEL RELAX,CENTRO ESTETICO-BENESSERE-MASSAGGI (Massaggi ed Estetica),+393512480593,4.7,2026-06-08 16:32,,,,
REST128,Be One - Massaggi ed Estetica Catania,+393472864022,4.8,2026-06-08 16:32,,,,
